,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
276,2021,2,Mendoza,40.97324182617088,45.54828468056102
252,2021,3,Mendoza,45.54828468056102,47.505317090317746
228,2021,4,Mendoza,47.505317090317746,48.73524093558345
204,2022,1,Mendoza,48.73524093558345,49.39
180,2022,2,Mendoza,49.39,51.03
156,2022,3,Mendoza,51.03,51.36
132,2022,4,Mendoza,51.36,51.4
108,2023,1,Mendoza,51.4,52.09
84,2023,2,Mendoza,52.09,52.03
60,2023,3,Mendoza,52.03,52.15
36,2023,4,Mendoza,52.15,52.59
12,2024,1,Mendoza,52.59,23.13653864847733
973,2014,1,Misiones,23.13653864847733,23.367747601299843
949,2014,2,Misiones,23.367747601299843,23.567356954345527
925,2014,3,Misiones,23.567356954345527,24.162430605588312
901,2014,4,Misiones,24.162430605588312,26.305604105190643
877,2015,1,Misiones,26.305604105190643,27.34768244882168
853,2015,2,Misiones,27.34768244882168,28.306345093436885
829,2015,3,Misiones,28.306345093436885,28.686658891542372
805,2015,4,Misiones,28.686658891542372,28.36765259095629
781,2016,1,Misiones,28.36765259095629,29.239512823021975
757,2016,2,Misiones,29.239512823021975,29.905385775898186
733,2016,3,Misiones,29.905385775898186,29.720149807797423
709,2016,4,Misiones,29.720149807797423,29.522202363131044
685,2017,1,Misiones,29.522202363131044,30.089248025085933
661,2017,2,Misiones,30.089248025085933,30.205990933031902
637,2017,3,Misiones,30.205990933031902,31.14218485379854
613,2017,4,Misiones,31.14218485379854,30.95673588446963
589,2018,1,Misiones,30.95673588446963,31.630907682221824
565,2018,2,Misiones,31.630907682221824,32.10366641805902
541,2018,3,Misiones,32.10366641805902,34.4507488777944
517,2018,4,Misiones,34.4507488777944,36.25716826552349
493,2019,1,Misiones,36.25716826552349,39.14612554169944
469,2019,2,Misiones,39.14612554169944,39.33292986744382
445,2019,3,Misiones,39.33292986744382,39.78923684048622
421,2019,4,Misiones,39.78923684048622,39.01834755171205
397,2020,1,Misiones,39.01834755171205,40.88779600969606
373,2020,2,Misiones,40.88779600969606,41.60448628544863
349,2020,3,Misiones,41.60448628544863,42.64411416119227
325,2020,4,Misiones,42.64411416119227,43.172438905971845
301,2021,1,Misiones,43.172438905971845,45.0128113119994
277,2021,2,Misiones,45.0128113119994,45.57065365808786
253,2021,3,Misiones,45.57065365808786,49.06462073058497
229,2021,4,Misiones,49.06462073058497,49.04334199772953
205,2022,1,Misiones,49.04334199772953,51.0
181,2022,2,Misiones,51.0,51.82
157,2022,3,Misiones,51.82,52.85
133,2022,4,Misiones,52.85,53.97
109,2023,1,Misiones,53.97,55.18
85,2023,2,Misiones,55.18,55.51
61,2023,3,Misiones,55.51,56.27
37,2023,4,Misiones,56.27,56.76
13,2024,1,Misiones,56.76,49.79160519138556
974,2014,1,Neuquén,49.79160519138556,50.84274905844866
950,2014,2,Neuquén,50.84274905844866,56.39541102706976
926,2014,3,Neuquén,56.39541102706976,52.554989697249574
902,2014,4,Neuquén,52.554989697249574,51.95443673810251
878,2015,1,Neuquén,51.95443673810251,53.117336593231435
854,2015,2,Neuquén,53.117336593231435,54.59931489671118
830,2015,3,Neuquén,54.59931489671118,58.2893377687955
806,2015,4,Neuquén,58.2893377687955,55.75393700425406
782,2016,1,Neuquén,55.75393700425406,59.098285533662036
758,2016,2,Neuquén,59.098285533662036,60.21485088853954
734,2016,3,Neuquén,60.21485088853954,60.873667228199054
710,2016,4,Neuquén,60.873667228199054,61.02302006782746
686,2017,1,Neuquén,61.02302006782746,61.91013427666159
662,2017,2,Neuquén,61.91013427666159,60.8304131050389
638,2017,3,Neuquén,60.8304131050389,61.24232317785096
614,2017,4,Neuquén,61.24232317785096,61.517390351563726
590,2018,1,Neuquén,61.517390351563726,60.23679161402031
566,2018,2,Neuquén,60.23679161402031,60.48661674396911
542,2018,3,Neuquén,60.48661674396911,59.06916926636779
518,2018,4,Neuquén,59.06916926636779,58.87800433437489
494,2019,1,Neuquén,58.87800433437489,63.080964327674394
470,2019,2,Neuquén,63.080964327674394,64.13887269491578
446,2019,3,Neuquén,64.13887269491578,59.35590092822445
422,2019,4,Neuquén,59.35590092822445,61.84749362355069
398,2020,1,Neuquén,61.84749362355069,63.898469033764314
374,2020,2,Neuquén,63.898469033764314,65.24417025530218
350,2020,3,Neuquén,65.24417025530218,67.00234522048092
326,2020,4,Neuquén,67.00234522048092,66.84208942045272
302,2021,1,Neuquén,66.84208942045272,69.14021084638621
278,2021,2,Neuquén,69.14021084638621,69.70653344501615
254,2021,3,Neuquén,69.70653344501615,73.30016254020012
230,2021,4,Neuquén,73.30016254020012,74.17305509992715
206,2022,1,Neuquén,74.17305509992715,80.02
182,2022,2,Neuquén,80.02,80.37
158,2022,3,Neuquén,80.37,78.67
134,2022,4,Neuquén,78.67,78.55
110,2023,1,Neuquén,78.55,78.97
86,2023,2,Neuquén,78.97,79.97
62,2023,3,Neuquén,79.97,79.91
38,2023,4,Neuquén,79.91,79.5
14,2024,1,Neuquén,79.5,44.913957131788514
975,2014,1,Río Negro,44.913957131788514,45.33491032014632
951,2014,2,Río Negro,45.33491032014632,46.196187157830146
927,2014,3,Río Negro,46.196187157830146,45.47806275120403
903,2014,4,Río Negro,45.47806275120403,45.32694907202778
879,2015,1,Río Negro,45.32694907202778,45.97612013432327
855,2015,2,Río Negro,45.97612013432327,46.389186656745146
831,2015,3,Río Negro,46.389186656745146,46.43948111494307
807,2015,4,Río Negro,46.43948111494307,45.83512638708331
783,2016,1,Río Negro,45.83512638708331,46.240113078127436
759,2016,2,Río Negro,46.240113078127436,46.38796536215942
735,2016,3,Río Negro,46.38796536215942,46.38521035065572
711,2016,4,Río Negro,46.38521035065572,46.02953874119518
687,2017,1,Río Negro,46.02953874119518,46.02080512293318
663,2017,2,Río Negro,46.02080512293318,48.518658939500625
639,2017,3,Río Negro,48.518658939500625,49.37562976824529
615,2017,4,Río Negro,49.37562976824529,49.816861312232405
591,2018,1,Río Negro,49.816861312232405,50.147894623963396
567,2018,2,Río Negro,50.147894623963396,50.54264808703746
543,2018,3,Río Negro,50.54264808703746,51.86140345426057
519,2018,4,Río Negro,51.86140345426057,53.57164978100252
495,2019,1,Río Negro,53.57164978100252,61.0942074999118
471,2019,2,Río Negro,61.0942074999118,63.42470088700958
447,2019,3,Río Negro,63.42470088700958,55.70500968287489
423,2019,4,Río Negro,55.70500968287489,55.11566865962362
399,2020,1,Río Negro,55.11566865962362,56.369335248791955
375,2020,2,Río Negro,56.369335248791955,57.052405915845014
351,2020,3,Río Negro,57.052405915845014,61.088615480454756
327,2020,4,Río Negro,61.088615480454756,60.87924030325769
303,2021,1,Río Negro,60.87924030325769,61.94204057417748
279,2021,2,Río Negro,61.94204057417748,61.967213114754095
255,2021,3,Río Negro,61.967213114754095,65.69489961160652
231,2021,4,Río Negro,65.69489961160652,67.03640754987029
207,2022,1,Río Negro,67.03640754987029,67.85
183,2022,2,Río Negro,67.85,67.98
159,2022,3,Río Negro,67.98,68.42
135,2022,4,Río Negro,68.42,69.16
111,2023,1,Río Negro,69.16,68.56
87,2023,2,Río Negro,68.56,68.4
63,2023,3,Río Negro,68.4,70.26
39,2023,4,Río Negro,70.26,71.14
